,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Match Report
2020-09-04,Fri,UEFA Nations League,League B,Home,L 1–2,no Norway,at Austria,Y,LM,59,,0,,,,,,,,,,,,,,,,,,0,,,,Match Report
2020-09-20,Sun,Serie A,Matchweek 1,Away,L 0–3,Sampdoria,Juventus,Y,CMRM,69,1,1,0,1,0,0,0,,0,24,6,25.0,9,11,4,5,4,0,1,1,2,0,0,Match Report
2020-09-26,Sat,Serie A,Matchweek 2,Home,L 2–3,Sampdoria,Benevento,N,DM,32,1,1,0,1,0,0,0,,0,15,6,40.0,6,6,3,2,0,0,2,0,1,0,0,Match Report
2020-10-02,Fri,Serie A,Matchweek 3,Away,W 2–1,Sampdoria,Fiorentina,Y,DM,90,4,3,2,0,2,1,1,100.0,0,27,6,22.2,9,13,5,0,0,0,0,1,5,1,0,Match Report
2020-10-08,Thu,Euro Qualifying,Semi-finals,Home,L 1–2,no Norway,rs Serbia,N,,5,,0,,,,,,,,,,,,,,,,,,0,,,,Match Report
2020-10-17,Sat,Serie A,Matchweek 4,Home,W 3–0,Sampdoria,Lazio,Y,DM,90,3,3,0,2,1,2,2,100.0,0,43,11,25.6,16,21,6,3,1,0,2,1,4,0,0,Match Report
2020-10-24,Sat,Serie A,Matchweek 5,Away,W 3–1,Sampdoria,Atalanta,Y,CM,90,2,1,2,0,0,0,4,0.0,4,33,10,30.3,21,5,7,4,0,0,4,0,2,2,0,Match Report
2020-10-27,Tue,Coppa Italia,Third round,Home,W 1–0,Sampdoria,Salernitana,N,,27,,0,,,,,,,,,,,,,,,,,,0,,,,Match Report
2020-11-01,Sun,Serie A,Matchweek 6,Home,D 1–1,Sampdoria,Genoa,Y,DM,90,4,3,0,4,0,0,1,0.0,1,20,7,35.0,3,11,6,2,0,0,2,1,5,0,0,Match Report
2020-11-07,Sat,Serie A,Matchweek 7,Away,L 0–2,Sampdoria,Cagliari,Y,DM,90,2,0,2,0,0,0,0,,0,23,6,26.1,10,8,5,3,0,0,3,0,2,0,0,Match Report
2020-11-22,Sun,Serie A,Matchweek 8,Home,L 1–2,Sampdoria,Bologna,Y,CM,90,4,3,1,3,0,0,4,0.0,4,25,11,44.0,8,13,4,2,1,0,1,0,4,3,0,Match Report
2020-11-26,Thu,Coppa Italia,Round of 16,Home,L 1–3,Sampdoria,Genoa,Y,,90,,0,,,,,,,,,,,,,,,,,,0,,,,Match Report
2020-11-30,Mon,Serie A,Matchweek 9,Away,D 2–2,Sampdoria,Torino,Y,DM,90,3,0,3,0,0,2,3,66.7,1,26,10,38.5,8,14,4,1,0,0,1,1,4,1,0,Match Report
2020-12-06,Sun,Serie A,Matchweek 10,Home,L 1–2,Sampdoria,Milan,Y,CM,90,5,2,2,2,1,1,1,100.0,0,22,9,40.9,10,5,7,3,0,0,3,3,8,1,0,Match Report
2020-12-13,Sun,Serie A,Matchweek 11,Away,L 1–2,Sampdoria,Napoli,Y,CM,90,3,2,3,0,0,0,1,0.0,1,22,3,13.6,13,6,3,1,0,0,1,0,3,1,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,Sat,Serie A,Matchweek 13,Home,W 3–1,Sampdoria,Crotone,N,RB,83,3,3,1,1,1,2,3,66.7,1,16,11,68.8,6,6,4,0,0,0,0,2,5,0,0,Match Report
2020-12-23,Wed,Serie A,Matchweek 14,Home,L 2–3,Sampdoria,Sassuolo,Y,DM,36,1,1,0,0,1,1,1,100.0,0,6,3,50.0,2,1,3,1,0,0,1,0,1,0,0,Match Report
2021-01-03,Sun,Serie A,Matchweek 15,Away,L 0–1,Sampdoria,Roma,Y,CM,90,1,1,1,0,0,0,3,0.0,3,11,6,54.5,3,8,0,1,0,0,1,0,1,3,0,Match Report
,,,,,5-2-11,,,14/18,,1301,37,24,17,14,6,9,24,37.5,15,313,105,33.5,124,128,61,28,6,0,22,10,47,12,0,
