,,,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2020-09-04,Fri,UEFA Nations League,League B,Home,L 1–2,no Norway,at Austria,Y,LM,59,,,,,,,,0,,,,,,,,,,,,,,,,,,Match Report
2020-09-20,Sun,Serie A,Matchweek 1,Away,L 0–3,Sampdoria,Juventus,Y,CMRM,69,21,21,0,0,0,7,0,0,0,0,0,0,15,4,2,2,15,1,0,1,19,0,1,1,0,Match Report
2020-09-26,Sat,Serie A,Matchweek 2,Home,L 2–3,Sampdoria,Benevento,N,DM,32,20,20,0,0,0,6,0,0,0,0,0,0,9,6,5,4,9,3,0,0,12,0,2,0,3,Match Report
2020-10-02,Fri,Serie A,Matchweek 3,Away,W 2–1,Sampdoria,Fiorentina,Y,DM,90,34,34,0,0,0,8,0,0,0,0,0,0,19,6,9,4,21,6,0,0,22,0,1,1,1,Match Report
2020-10-08,Thu,Euro Qualifying,Semi-finals,Home,L 1–2,no Norway,rs Serbia,N,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,Match Report
2020-10-17,Sat,Serie A,Matchweek 4,Home,W 3–0,Sampdoria,Lazio,Y,DM,90,41,39,2,2,0,6,0,0,0,0,0,0,27,5,9,7,29,1,0,1,33,0,0,0,1,Match Report
2020-10-24,Sat,Serie A,Matchweek 5,Away,W 3–1,Sampdoria,Atalanta,Y,CM,90,21,21,0,0,0,5,0,0,0,0,0,0,16,1,4,5,12,0,0,0,17,0,0,0,0,Match Report
2020-10-27,Tue,Coppa Italia,Third round,Home,W 1–0,Sampdoria,Salernitana,N,,27,,,,,,,,0,,,,,,,,,,,,,,,,,,Match Report
2020-11-01,Sun,Serie A,Matchweek 6,Home,D 1–1,Sampdoria,Genoa,Y,DM,90,41,41,0,0,0,5,0,0,0,0,0,0,33,5,3,4,32,3,0,0,37,0,1,1,0,Match Report
2020-11-07,Sat,Serie A,Matchweek 7,Away,L 0–2,Sampdoria,Cagliari,Y,DM,90,30,30,0,0,0,16,2,1,0,0,0,0,15,9,6,7,19,3,0,0,22,0,0,1,1,Match Report
2020-11-22,Sun,Serie A,Matchweek 8,Home,L 1–2,Sampdoria,Bologna,Y,CM,90,35,34,1,0,0,11,0,1,0,0,0,0,17,14,4,4,20,3,1,0,22,0,0,2,2,Match Report
2020-11-26,Thu,Coppa Italia,Round of 16,Home,L 1–3,Sampdoria,Genoa,Y,,90,,,,,,,,0,,,,,,,,,,,,,,,,,,Match Report
2020-11-30,Mon,Serie A,Matchweek 9,Away,D 2–2,Sampdoria,Torino,Y,DM,90,32,32,0,0,0,10,0,0,0,0,0,0,20,5,7,3,21,4,0,0,23,0,0,5,0,Match Report
2020-12-06,Sun,Serie A,Matchweek 10,Home,L 1–2,Sampdoria,Milan,Y,CM,90,23,23,0,0,0,11,0,0,0,0,0,0,12,4,7,3,12,1,0,0,13,0,0,1,1,Match Report
2020-12-13,Sun,Serie A,Matchweek 11,Away,L 1–2,Sampdoria,Napoli,Y,CM,90,30,29,1,1,0,6,1,0,0,0,0,0,20,6,4,8,19,1,0,0,24,0,1,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,Sat,Serie A,Matchweek 13,Home,W 3–1,Sampdoria,Crotone,N,RB,83,51,43,8,0,0,7,0,0,0,0,0,0,31,8,12,8,30,0,8,0,40,1,1,2,0,Match Report
2020-12-23,Wed,Serie A,Matchweek 14,Home,L 2–3,Sampdoria,Sassuolo,Y,DM,36,13,12,1,1,0,5,0,1,0,0,0,0,6,3,4,0,10,2,0,0,10,0,0,0,1,Match Report
2021-01-03,Sun,Serie A,Matchweek 15,Away,L 0–1,Sampdoria,Roma,Y,CM,90,29,28,1,1,0,12,0,0,0,0,0,0,13,10,6,3,16,4,0,0,15,0,0,0,2,Match Report
,,,,,5-2-11,,,14/18,,1301,421,407,14,5,0,115,3,3,0,0,0,0,253,86,82,62,265,32,9,2,309,1,7,14,12,
