,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2020-09-04,Fri,UEFA Nations League,League B,Home,L 1–2,no Norway,at Austria,Y,LM,59,,,,,,,,,,,,,,,0,,,,,,,Match Report
2020-09-20,Sun,Serie A,Matchweek 1,Away,L 0–3,Sampdoria,Juventus,Y,CMRM,69,19,21,90.5,273,98,12,13,92.3,4,5,80.0,2,2,100.0,0,0.1,1,1,0,0,3,Match Report
2020-09-26,Sat,Serie A,Matchweek 2,Home,L 2–3,Sampdoria,Benevento,N,DM,32,12,20,60.0,136,52,10,13,76.9,1,2,50.0,0,1,0.0,0,0.0,0,0,0,0,1,Match Report
2020-10-02,Fri,Serie A,Matchweek 3,Away,W 2–1,Sampdoria,Fiorentina,Y,DM,90,22,34,64.7,351,146,10,14,71.4,10,16,62.5,1,1,100.0,0,0.0,0,4,0,0,3,Match Report
2020-10-08,Thu,Euro Qualifying,Semi-finals,Home,L 1–2,no Norway,rs Serbia,N,,5,,,,,,,,,,,,,,,0,,,,,,,Match Report
2020-10-17,Sat,Serie A,Matchweek 4,Home,W 3–0,Sampdoria,Lazio,Y,DM,90,33,41,80.5,461,147,22,25,88.0,11,12,91.7,0,3,0.0,0,0.0,1,2,0,0,1,Match Report
2020-10-24,Sat,Serie A,Matchweek 5,Away,W 3–1,Sampdoria,Atalanta,Y,CM,90,17,21,81.0,263,80,8,10,80.0,6,8,75.0,2,2,100.0,0,0.0,0,1,0,0,1,Match Report
2020-10-27,Tue,Coppa Italia,Third round,Home,W 1–0,Sampdoria,Salernitana,N,,27,,,,,,,,,,,,,,,0,,,,,,,Match Report
2020-11-01,Sun,Serie A,Matchweek 6,Home,D 1–1,Sampdoria,Genoa,Y,DM,90,37,41,90.2,542,227,19,20,95.0,16,19,84.2,0,0,,0,0.1,1,1,0,0,4,Match Report
2020-11-07,Sat,Serie A,Matchweek 7,Away,L 0–2,Sampdoria,Cagliari,Y,DM,90,22,30,73.3,445,118,8,9,88.9,10,13,76.9,3,6,50.0,0,0.0,0,3,1,0,4,Match Report
2020-11-22,Sun,Serie A,Matchweek 8,Home,L 1–2,Sampdoria,Bologna,Y,CM,90,22,35,62.9,327,134,13,17,76.5,6,10,60.0,2,4,50.0,0,0.0,1,3,0,0,3,Match Report
2020-11-26,Thu,Coppa Italia,Round of 16,Home,L 1–3,Sampdoria,Genoa,Y,,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
2020-11-30,Mon,Serie A,Matchweek 9,Away,D 2–2,Sampdoria,Torino,Y,DM,90,23,32,71.9,342,152,18,22,81.8,4,8,50.0,1,2,50.0,0,0.1,3,4,0,0,3,Match Report
2020-12-06,Sun,Serie A,Matchweek 10,Home,L 1–2,Sampdoria,Milan,Y,CM,90,13,23,56.5,185,62,8,13,61.5,3,7,42.9,1,1,100.0,0,0.0,0,2,0,0,2,Match Report
2020-12-13,Sun,Serie A,Matchweek 11,Away,L 1–2,Sampdoria,Napoli,Y,CM,90,24,30,80.0,415,119,16,18,88.9,3,5,60.0,5,7,71.4,0,0.0,0,3,0,0,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,Sat,Serie A,Matchweek 13,Home,W 3–1,Sampdoria,Crotone,N,RB,83,40,51,78.4,636,413,17,18,94.4,21,27,77.8,1,5,20.0,0,0.0,0,3,0,0,3,Match Report
2020-12-23,Wed,Serie A,Matchweek 14,Home,L 2–3,Sampdoria,Sassuolo,Y,DM,36,10,13,76.9,155,40,4,4,100.0,5,7,71.4,0,1,0.0,0,0.0,1,0,0,0,1,Match Report
2021-01-03,Sun,Serie A,Matchweek 15,Away,L 0–1,Sampdoria,Roma,Y,CM,90,15,29,51.7,178,31,12,17,70.6,3,8,37.5,0,0,,0,0.0,0,1,0,0,0,Match Report
,,,,,5-2-11,,,14/18,,1301,309,421,73.4,4709,1819,177,213,83.1,103,147,70.1,18,35,51.4,0,0.3,8,28,1,0,30,
